objectid,lsoa11cd,lsoa11nm,Borough,All Ages,HubName,HubDist,NUMPOINTS(,NUMPOINT_1,NUMPOINT_2
22682,E01004470,Waltham Forest 013E,Waltham Forest,1477 ,1010004871,177.6158085,3,5,16
22683,E01004471,Waltham Forest 013F,Waltham Forest,1865 ,1010010113,230.0191861,3,3,18
22734,E01003746,Redbridge 001C,Redbridge,1523 ,1010014664,1206.62285,0,0,5
22736,E01003744,Redbridge 001A,Redbridge,1386 ,1010003590,1820.948626,0,0,6
22864,E01004357,Waltham Forest 001E,Waltham Forest,1557 ,1010010029,783.79579,0,3,7
22866,E01004354,Waltham Forest 002C,Waltham Forest,1900 ,1010004883,180.5324069,3,3,4
22867,E01004355,Waltham Forest 004A,Waltham Forest,1652 ,1010010884,982.8962632,0,1,8
22868,E01004352,Waltham Forest 002A,Waltham Forest,1839 ,1010004883,255.6520472,3,3,4
22869,E01004353,Waltham Forest 002B,Waltham Forest,1794 ,1010004883,617.1289569,0,3,4
22871,E01004351,Waltham Forest 001C,Waltham Forest,1612 ,1010010029,902.7510779,0,3,3
22874,E01004358,Waltham Forest 002D,Waltham Forest,1814 ,1010010029,536.9540508,0,3,7
22875,E01004359,Waltham Forest 002E,Waltham Forest,1697 ,1010010029,376.4736183,1,3,7
23014,E01004457,Waltham Forest 012B,Waltham Forest,1852 ,1010014926,758.2214953,0,7,22
23024,E01004458,Waltham Forest 012C,Waltham Forest,2041 ,1010004873,508.8570186,0,9,19
23025,E01004459,Waltham Forest 012D,Waltham Forest,1669 ,1010014475,745.9357963,0,4,21
23144,E01001770,Hackney 010E,Hackney,1924 ,1010004885,437.5146549,1,5,28
23169,E01003615,Newham 013C,Newham,1941 ,1010004865,291.4563864,1,5,19
23194,E01002040,Haringey 002D,Haringey,2252 ,1010003086,655.0205371,0,4,16
23223,E01004336,Waltham Forest 026A,Waltham Forest,1830 ,1010000647,309.0091628,1,4,17
23225,E01004337,Waltham Forest 027B,Waltham Forest,1981 ,1010000647,651.2280441,0,4,20
23227,E01004334,Waltham Forest 024B,Waltham Forest,1593 ,1010004852,197.1467425,1,3,18
23228,E01004335,Waltham Forest 027A,Waltham Forest,1689 ,1010004865,665.2157464,0,3,20
23229,E01004332,Waltham Forest 028F,Waltham Forest,2055 ,1010004865,576.6642449,0,2,19
23230,E01004333,Waltham Forest 024A,Waltham Forest,1846 ,1010004852,353.8959769,1,3,15
23231,E01004330,Waltham Forest 028D,Waltham Forest,1818 ,1010004852,502.6787265,0,1,21
23232,E01004331,Waltham Forest 028E,Waltham Forest,1915 ,1010010038,781.6048243,0,3,18
23235,E01004338,Waltham Forest 027C,Waltham Forest,1815 ,1010000647,472.7174288,1,6,18
23236,E01004339,Waltham Forest 027D,Waltham Forest,1916 ,1010004852,249.7806738,1,3,14
23309,E01004436,Waltham Forest 021B,Waltham Forest,1933 ,1010004153,251.1082622,1,4,17
23311,E01004437,Waltham Forest 021C,Waltham Forest,2114 ,1010015356,727.6653506,0,5,19
23313,E01004434,Waltham Forest 026E,Waltham Forest,2036 ,1010004849,595.7477049,0,7,23
23314,E01004435,Waltham Forest 023E,Waltham Forest,2371 ,1010004850,386.0860991,1,5,17
23315,E01004432,Waltham Forest 023D,Waltham Forest,1937 ,1010014891,264.5384082,1,5,24
23316,E01004430,Waltham Forest 026D,Waltham Forest,2426 ,1010003472,160.6485284,3,3,19
23319,E01004438,Waltham Forest 024C,Waltham Forest,2304 ,1010004153,320.3031364,3,4,15
23320,E01004439,Waltham Forest 021D,Waltham Forest,1741 ,1010003474,494.4007248,0,6,15
23554,E01033705,Hackney 028D,Hackney,1787 ,1010009216,235.1798461,1,3,20
23555,E01033702,Hackney 028C,Hackney,1765 ,1010009216,159.6215252,1,2,20
23556,E01033703,Hackney 010F,Hackney,1560 ,1010004885,155.5569968,2,10,27
23591,E01001757,Hackney 016C,Hackney,1793 ,1010014564,251.2489057,4,11,28
23615,E01003780,Redbridge 014G,Redbridge,1561 ,1010002928,597.032953,0,5,13
23628,E01003669,Redbridge 007B,Redbridge,1677 ,1010005076,233.7801792,1,4,12
23737,E01004397,Waltham Forest 017C,Waltham Forest,2706 ,1010000987,246.3469429,4,11,24
23741,E01004396,Waltham Forest 012A,Waltham Forest,1912 ,1010004873,294.7744173,1,8,22
23745,E01004395,Waltham Forest 018A,Waltham Forest,1614 ,1010004875,521.9734461,0,6,22
23747,E01004394,Waltham Forest 017B,Waltham Forest,1894 ,1010004875,256.7547985,3,9,23
23749,E01004393,Waltham Forest 014B,Waltham Forest,2161 ,1010004873,189.2861575,2,6,21
23751,E01004392,Waltham Forest 017A,Waltham Forest,2542 ,1010007060,229.9066071,5,10,24
23754,E01004390,Waltham Forest 003E,Waltham Forest,1568 ,1010010028,396.2280845,1,1,6
23760,E01004399,Waltham Forest 009B,Waltham Forest,1805 ,1010010115,496.8458778,0,4,9
23762,E01004398,Waltham Forest 009A,Waltham Forest,1998 ,1010010115,393.0905109,1,2,13
23859,E01004416,Waltham Forest 004E,Waltham Forest,1708 ,1010010441,562.9171885,0,3,9
23949,E01003544,Newham 001B,Newham,1955 ,1010010038,426.7962051,1,4,19
23950,E01003545,Newham 006A,Newham,1855 ,1010003476,669.8911375,0,6,20
23955,E01003548,Newham 006B,Newham,2404 ,1010004865,377.0850679,1,4,19
24037,E01001734,Hackney 017B,Hackney,1995 ,1010003484,211.6768652,3,11,27
24040,E01001733,Hackney 015A,Hackney,1870 ,1010016223,83.76208974,3,8,16
24086,E01004369,Waltham Forest 023A,Waltham Forest,1858 ,1010014891,418.3041163,2,3,18
24089,E01004467,Waltham Forest 015D,Waltham Forest,2397 ,1010010113,539.6948921,0,5,20
24098,E01003776,Redbridge 014C,Redbridge,1772 ,1010004851,754.7832685,0,2,16
24176,E01004391,Waltham Forest 014A,Waltham Forest,2075 ,1010004873,465.4782862,4,8,22
19427,E01003777,Redbridge 014D,Redbridge,1767 ,1010004851,226.2416384,3,3,12
19428,E01003774,Redbridge 014A,Redbridge,1869 ,1010004851,664.1836926,0,4,11
19430,E01003772,Redbridge 024D,Redbridge,1813 ,1010000205,749.7474883,0,3,14
19431,E01003773,Redbridge 022D,Redbridge,1858 ,1010006291,421.4837129,3,6,12
19432,E01003770,Redbridge 022B,Redbridge,3070 ,1010006291,804.9444224,0,3,11
19433,E01003771,Redbridge 022C,Redbridge,2108 ,1010006291,504.5131935,0,5,15
19524,E01032581,Redbridge 034G,Redbridge,1999 ,1010005549,389.001992,2,7,15
19525,E01032580,Barking and Dagenham 023F,Barking and Dagenham,1504 ,1010005549,130.9269924,2,6,15
19843,E01000032,Barking and Dagenham 002B,Barking and Dagenham,1879 ,1010003191,314.9837241,2,2,12
19912,E01003528,Newham 005A,Newham,1456 ,1010004854,1001.198418,0,1,19
19963,E01033589,Redbridge 030H,Redbridge,2640 ,1010007149,102.0220475,6,9,18
19974,E01003587,Newham 004C,Newham,2527 ,1010005975,258.6476573,1,3,14
19977,E01003586,Newham 003C,Newham,1936 ,1010005975,269.3040847,1,4,16
19978,E01003585,Newham 004B,Newham,1608 ,1010004854,475.4843836,1,2,20
19979,E01003584,Newham 003B,Newham,1977 ,1010005975,274.7510756,1,1,12
19980,E01003583,Newham 002D,Newham,1902 ,1010004854,589.4800263,0,1,20
19982,E01003582,Newham 002C,Newham,1782 ,1010004854,638.6517839,0,3,19
19984,E01003581,Newham 002B,Newham,1949 ,1010004854,252.209169,1,2,15
19986,E01003580,Newham 005D,Newham,2029 ,1010003014,1115.868091,0,1,21
19990,E01003588,Newham 011D,Newham,1743 ,1010005975,359.4143183,1,3,13
20344,E01003756,Redbridge 023C,Redbridge,2237 ,1010005074,492.7150488,1,6,19
20625,E01003757,Redbridge 020D,Redbridge,2114 ,1010018970,419.2893479,1,5,17
20626,E01003754,Redbridge 020C,Redbridge,1656 ,1010018970,859.0158347,0,3,16
20627,E01003755,Redbridge 023B,Redbridge,2122 ,1010012624,401.5424349,2,3,22
20628,E01003752,Redbridge 023A,Redbridge,2880 ,1010005073,528.3142633,0,5,20
20629,E01003753,Redbridge 020B,Redbridge,2205 ,1010001710,248.7448317,2,2,21
20631,E01003751,Redbridge 020A,Redbridge,2144 ,1010018970,1293.41091,0,3,14
20632,E01003758,Redbridge 023D,Redbridge,2861 ,1010005074,272.1651558,1,6,19
20633,E01003759,Redbridge 009A,Redbridge,1552 ,1010014476,517.5333431,0,4,9
20655,E01003686,Redbridge 030D,Redbridge,2146 ,1010007149,477.5788973,2,9,15
20657,E01003685,Redbridge 030C,Redbridge,1995 ,1010003588,663.7610668,0,7,19
20659,E01003684,Redbridge 030B,Redbridge,1990 ,1010007149,1085.67309,0,1,19
20661,E01003683,Redbridge 030A,Redbridge,2275 ,1010007149,832.3882067,0,5,18
20663,E01003682,Redbridge 036H,Redbridge,1747 ,1010004220,1307.838237,0,0,9
20665,E01003681,Redbridge 036G,Redbridge,1879 ,1010003589,1149.517841,0,0,8
20667,E01003680,Redbridge 036F,Redbridge,1857 ,1010015670,290.5984712,1,1,10
20669,E01003689,Redbridge 030G,Redbridge,2205 ,1010003588,434.1460831,5,8,14
20671,E01003688,Redbridge 030F,Redbridge,2093 ,1010007149,412.8716985,3,9,14
20739,E01000097,Barking and Dagenham 023C,Barking and Dagenham,1843 ,1010010160,613.9681761,0,7,14
20753,E01000099,Barking and Dagenham 023E,Barking and Dagenham,2474 ,1010010160,449.9066358,1,3,15
20754,E01000019,Barking and Dagenham 023A,Barking and Dagenham,1563 ,1010005549,481.8399777,1,4,16
20755,E01000098,Barking and Dagenham 023D,Barking and Dagenham,1824 ,1010010160,301.6474386,2,3,14
21146,E01003736,Redbridge 033D,Redbridge,1778 ,1010014096,900.9343423,0,5,20
21148,E01003737,Redbridge 031A,Redbridge,1918 ,1010000205,870.4356378,0,4,15
21149,E01003734,Redbridge 033B,Redbridge,1976 ,1010016914,864.6211025,0,1,19
21150,E01003735,Redbridge 033C,Redbridge,2510 ,1010016914,789.3086421,0,2,17
21151,E01003732,Redbridge 032D,Redbridge,1857 ,1010003014,1081.862047,0,0,21
21152,E01003733,Redbridge 032E,Redbridge,1810 ,1010003014,815.5437957,0,1,19
21153,E01003730,Redbridge 032C,Redbridge,1740 ,1010003588,845.2522074,0,5,19
21154,E01003731,Redbridge 033A,Redbridge,1549 ,1010003588,1063.595222,0,1,18
21155,E01003738,Redbridge 031B,Redbridge,2314 ,1010007338,665.7322034,0,2,13
21156,E01003739,Redbridge 031C,Redbridge,2418 ,1010008697,670.636429,0,2,20
21193,E01000102,Barking and Dagenham 007G,Barking and Dagenham,1517 ,1010010160,246.0466246,1,2,15
21205,E01000066,Barking and Dagenham 011A,Barking and Dagenham,2304 ,1010007338,757.1399885,0,3,8
21206,E01000067,Barking and Dagenham 011B,Barking and Dagenham,2222 ,1010008697,458.4358396,1,1,11
21214,E01000069,Barking and Dagenham 011C,Barking and Dagenham,1938 ,1010008697,443.7093304,1,1,10
