LSOA11CD,Employee
E01000846,217
E01000847,413
E01000848,435
E01000849,617
E01000850,11739
E01000851,9343
E01000852,3936
E01000853,1124
E01000854,15872
E01000855,13298
E01000856,1484
E01000857,502
E01000858,1435
E01000859,1542
E01000860,275
E01000861,2132
E01000862,3354
E01000863,4209
E01000864,294
E01000865,587
E01000866,1161
E01000867,614
E01000868,190
E01000869,533
E01000870,480
E01000871,483
E01000872,389
E01000873,440
E01000874,372
E01000875,274
E01000876,356
E01000877,580
E01000878,287
E01000879,854
E01000880,325
E01000881,720
E01000882,1034
E01000883,1145
E01000884,282
E01000885,373
E01000886,364
E01000887,747
E01000888,487
E01000889,578
E01000890,198
E01000891,427
E01000892,346
E01000893,453
E01000894,663
E01000895,1415
E01000896,590
E01000897,785
E01000898,7081
E01000899,724
E01000900,402
E01000901,337
E01000902,333
E01000903,370
E01000904,966
E01000905,240
E01000906,414
E01000907,153
E01000908,313
E01000909,388
E01000910,488
E01000911,262
E01000912,1081
E01000913,1166
E01000914,31014
E01000915,7451
E01000916,13334
E01000917,3344
E01000918,12887
E01000919,11577
E01000920,6761
E01000921,888
E01000922,2711
E01000923,268
E01000924,470
E01000925,438
E01000926,507
E01000927,724
E01000928,3588
E01000929,357
E01000930,1145
E01000931,833
E01000932,259
E01000933,501
E01000934,400
E01000935,138
E01000936,1409
E01000937,995
E01000938,1580
E01000939,1643
E01000940,557
E01000941,431
E01000942,5017
E01000943,2576
E01000944,294
E01000945,7154
E01000946,14075
E01000947,5307
E01000948,549
E01000949,181
E01000950,140
E01000951,146
E01000952,551
E01000953,2514
E01000954,834
E01000955,534
E01000956,3361
E01000957,355
E01000958,5209
E01000959,760
E01000960,1063
E01000961,301
E01000962,416
E01000963,1895
E01000964,213
E01000965,247
E01000966,212
E01000967,326
E01000968,193
E01000969,759
E01000970,384
E01000971,242
E01000972,1216
E01000973,1348
E01000974,468
E01000975,1640
E01000976,596
E01000977,266
E01000978,208
E01000979,411
E01000980,163
E01000981,338
E01000982,277
E01000983,326
E01000984,502
E01000985,410
E01000986,392
E01000987,257
E01000989,280
E01000990,225
E01000991,221
E01000992,575
E01000993,392
E01000994,172
E01000995,539
E01000996,103
E01000997,233
E01000998,509
E01000999,131
E01001000,574
E01001001,211
E01001002,190
E01001003,308
E01001004,303
E01001005,267
E01001006,893
E01001007,373
E01001008,534
E01001009,343
E01001010,2076
E01001011,485
E01001012,365
E01001013,1440
E01001014,4882
E01001015,140
E01001016,1218
E01001017,303
E01001018,393
E01001019,394
E01001020,430
E01001021,188
E01001022,307
E01001023,1451
E01001024,248
E01001025,181
E01001026,226
E01001027,596
E01001028,510
E01001029,696
E01001030,238
E01001031,229
E01001032,215
E01001033,556
E01001034,775
E01001035,417
E01001036,449
E01001037,892
E01001038,301
E01001039,199
E01001040,939
E01001041,407
E01001042,1219
E01001043,5709
E01001044,529
E01001045,9624
E01001046,206
E01001047,465
E01001048,4158
E01001049,314
E01001050,192
E01001051,178
E01001052,80
E01001053,295
E01001054,285
E01001055,317
E01001056,101
E01001057,112
E01001058,184
E01001059,168
E01001060,205
E01001061,584
E01001062,660
E01001063,505
E01001064,349
E01001065,416
E01001066,122
E01001067,244
E01001068,388
E01001069,303
E01001070,304
E01001071,526
E01001072,278
E01001073,213
E01001074,369
E01001075,631
E01001076,809
E01001077,172
E01001078,243
E01001079,308
E01001080,126
E01001081,383
E01001082,502
E01001083,177
E01001084,417
E01001085,524
E01001086,259
E01001087,959
E01001088,185
E01001089,405
E01001090,413
E01001091,294
E01001092,703
E01001093,635
E01001094,392
E01001095,938
